CountryCode,Reference area,Measure,Unit of measure,Year,Value,Observation status,Unit multiplier
AUS,Australia,Permanent crops,Hectares,1989,160.175,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,1988,154.105,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,1987,152.289,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,1986,163.46,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,1985,154.869,Normal value,Thousands
AUS,Australia,Organic farming,Hectares,2021,35687799.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2020,35687799.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2019,35687799.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2018,35687799.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2017,35645038.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2016,27145021.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2015,22108495.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2014,22690000.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2013,17150000.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2012,11199577.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2011,11199577.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2010,12001724.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2009,12001724.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2008,11988044.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2007,11988044.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2006,12345314.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2005,11766768.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2004,12128386.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2003,11249212.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2002,6201195.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2001,5293732.0,Normal value,Units
AUS,Australia,Organic farming,Hectares,2000,5293732.0,Normal value,Units
AUS,Australia,Arable land,Hectares,2008,88927.448,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2007,58495.478,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2006,58540.81,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2005,63493.038,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2004,62804.632,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2003,59671.684,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2002,49180.601,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2001,51312.836,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2000,48072.443,Normal value,Thousands
AUS,Australia,Arable land,Hectares,1999,46739.614,Normal value,Thousands
AUS,Australia,Arable land,Hectares,1998,45313.705,Normal value,Thousands
AUS,Australia,Arable land,Hectares,1997,41222.624,Normal value,Thousands
AUS,Australia,Arable land,Hectares,1996,77114.794,Normal value,Thousands
AUS,Australia,Arable land,Hectares,1995,53327.69,Normal value,Thousands
AUS,Australia,Arable land,Hectares,1994,48567.224,Normal value,Thousands
AUS,Australia,Arable land,Hectares,1993,47387.581,Normal value,Thousands
AUS,Australia,Arable land,Hectares,1992,48623.131,Normal value,Thousands
AUS,Australia,Arable land,Hectares,1991,47423.537,Normal value,Thousands
AUS,Australia,Arable land,Hectares,1990,49948.259,Normal value,Thousands
AUS,Australia,Arable land,Hectares,1989,49966.954,Normal value,Thousands
AUS,Australia,Arable land,Hectares,1988,49212.621,Normal value,Thousands
AUS,Australia,Arable land,Hectares,1987,49330.356,Normal value,Thousands
AUS,Australia,Arable land,Hectares,1986,50138.348,Normal value,Thousands
AUS,Australia,Arable land,Hectares,1985,49714.663,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2021,313298.127,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2020,311716.244,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2019,319451.593,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2018,313272.203,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2017,330115.359,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2016,309234.251,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2015,319281.904,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2014,328892.341,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2013,325480.099,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2012,326621.182,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2011,308480.514,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2010,309646.103,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2009,318218.733,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2008,327818.824,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2007,366759.366,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2006,376029.454,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2005,381325.224,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2004,376806.229,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2003,379689.084,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2002,397668.804,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2001,404092.901,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,2000,407152.208,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,1999,406724.958,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,1998,418231.184,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,1997,424703.469,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,1996,387892.135,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,1995,409829.459,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,1994,420294.536,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,1993,412535.757,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,1992,417163.064,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,1991,415177.234,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,1990,413912.674,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,1989,410376.238,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,1988,422666.781,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,1987,421536.708,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,1986,434866.143,Normal value,Thousands
AUS,Australia,Permanent pasture,Hectares,1985,435735.592,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2021,343.965,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2020,336.567,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2019,330.207,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2018,315.2,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2017,305.927,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2016,305.808,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2015,312.205,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2014,331.147,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2013,373.975,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2012,339.213,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2011,356.136,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2010,404.869,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2009,349.648,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2008,541.287,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2007,194.495,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2006,354.551,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2005,330.539,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2004,498.715,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2003,170.678,Normal value,Thousands
AUS,Australia,Permanent crops,Hectares,2002,157.937,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2021,387264.589,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2020,377002.256,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2019,383801.493,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2018,378081.996,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2017,393797.177,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2016,371078.257,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2015,384557.865,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2014,406269.028,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2013,396615.288,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2012,405473.623,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2011,391686.179,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2010,397451.002,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2009,409028.751,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2008,417287.559,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2007,425449.339,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2006,434924.815,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2005,445148.801,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2004,440109.576,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2003,439531.447,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2002,447007.342,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2001,455723.262,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,2000,455516.1,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,1999,453729.393,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,1998,463786.276,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,1997,466152.069,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,1996,465219.561,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,1995,463347.33,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,1994,469047.583,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,1993,460097.296,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,1992,465953.494,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,1991,462763.419,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,1990,464026.542,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,1989,460503.367,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,1988,472033.507,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,1987,471019.353,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,1986,485167.951,Normal value,Thousands
AUS,Australia,Total agricultural land area,Hectares,1985,485605.123,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2021,73966.462,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2020,65286.012,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2019,64349.901,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2018,64809.793,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2017,63681.818,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2016,61844.005,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2015,65275.962,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2014,77376.687,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2013,71135.189,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2012,78852.441,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2011,83205.666,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2010,87804.899,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2009,90810.019,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2008,89468.735,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2007,58689.973,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2006,58895.361,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2005,63823.577,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2004,63303.347,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2003,59842.363,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2002,49338.538,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2001,51630.362,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,2000,48363.892,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,1999,47004.436,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,1998,45555.092,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,1997,41448.601,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,1996,77327.426,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,1995,53517.871,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,1994,48753.047,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,1993,47561.539,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,1992,48790.431,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,1991,47586.186,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,1990,50113.868,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,1989,50127.129,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,1988,49366.727,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,1987,49482.646,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,1986,50301.808,Normal value,Thousands
AUS,Australia,Arable and permanent crop land,Hectares,1985,49869.531,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2021,73622.497,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2020,64949.446,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2019,64019.694,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2018,64494.593,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2017,63375.89,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2016,61538.197,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2015,64963.757,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2014,77045.54,Normal value,Thousands
AUS,Australia,Arable land,Hectares,2013,70761.214,Normal value,Thousands
AUT,Austria,Total agricultural land area,Hectares,1999,3384.3,Normal value,Thousands
AUT,Austria,Total agricultural land area,Hectares,1994,3449.3,Normal value,Thousands
AUT,Austria,Total agricultural land area,Hectares,1993,3448.3,Normal value,Thousands
AUT,Austria,Organic farming,Hectares,2009,518172.0,Normal value,Units
AUT,Austria,Organic farming,Hectares,2008,491825.0,Normal value,Units
AUT,Austria,Organic farming,Hectares,2007,481637.0,Normal value,Units
AUT,Austria,Organic farming,Hectares,2006,477472.0,Normal value,Units
AUT,Austria,Organic farming,Hectares,2005,479216.0,Normal value,Units
AUT,Austria,Organic farming,Hectares,2004,459115.0,Normal value,Units
AUT,Austria,Organic farming,Hectares,2003,445879.0,Normal value,Units
AUT,Austria,Organic farming,Hectares,2002,423840.0,Normal value,Units
AUT,Austria,Permanent crops,Hectares,1996,77.0,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,1995,77.0,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,1994,76.0,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,1993,76.0,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,1992,79.0,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,1991,79.0,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,1990,79.0,Normal value,Thousands
AUT,Austria,Organic farming,Hectares,2020,679992.0,Normal value,Units
AUT,Austria,Organic farming,Hectares,2019,671703.0,Normal value,Units
AUT,Austria,Organic farming,Hectares,2018,639097.0,Normal value,Units
AUT,Austria,Organic farming,Hectares,2017,620656.0,Normal value,Units
AUT,Austria,Organic farming,Hectares,2016,571423.0,Normal value,Units
AUT,Austria,Organic farming,Hectares,2015,552141.0,Normal value,Units
AUT,Austria,Organic farming,Hectares,2014,525521.0,Normal value,Units
AUT,Austria,Organic farming,Hectares,2013,526689.0,Normal value,Units
AUT,Austria,Organic farming,Hectares,2012,533230.0,Normal value,Units
AUT,Austria,Organic farming,Hectares,2011,536877.0,Normal value,Units
AUT,Austria,Organic farming,Hectares,2010,538210.0,Normal value,Units
AUT,Austria,Permanent pasture,Hectares,2007,1789.4,Normal value,Thousands
AUT,Austria,Permanent pasture,Hectares,2006,1789.4,Normal value,Thousands
AUT,Austria,Permanent pasture,Hectares,2005,1810.4,Normal value,Thousands
AUT,Austria,Permanent pasture,Hectares,2004,1917.4,Normal value,Thousands
AUT,Austria,Permanent pasture,Hectares,2003,1917.4,Normal value,Thousands
AUT,Austria,Permanent pasture,Hectares,2002,1917.4,Normal value,Thousands
AUT,Austria,Permanent pasture,Hectares,2001,1917.4,Normal value,Thousands
AUT,Austria,Permanent pasture,Hectares,2000,1917.4,Normal value,Thousands
AUT,Austria,Permanent pasture,Hectares,1999,1917.4,Normal value,Thousands
AUT,Austria,Permanent pasture,Hectares,1994,1951.3,Normal value,Thousands
AUT,Austria,Permanent pasture,Hectares,1993,1951.3,Normal value,Thousands
AUT,Austria,Permanent pasture,Hectares,1992,1952.8,Normal value,Thousands
AUT,Austria,Permanent pasture,Hectares,1991,1953.0,Normal value,Thousands
AUT,Austria,Permanent pasture,Hectares,1990,1953.0,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2021,67.53,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2020,68.02,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2019,66.87,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2018,66.87,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2017,66.87,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2016,66.82,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2015,65.49,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2014,65.37,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2013,65.31,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2012,65.31,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2011,65.31,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2010,66.3,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2009,66.3,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2008,66.3,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2007,68.0,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2006,68.0,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2005,65.8,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2004,65.8,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2003,70.6,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2002,70.6,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2001,70.6,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,2000,72.9,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,1999,72.9,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,1998,72.9,Normal value,Thousands
AUT,Austria,Permanent crops,Hectares,1997,73.0,Normal value,Thousands
AUT,Austria,Total agricultural land area,Hectares,1992,3467.8,Normal value,Thousands
AUT,Austria,Total agricultural land area,Hectares,1991,3477.0,Normal value,Thousands
AUT,Austria,Total agricultural land area,Hectares,1990,3458.0,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2021,1392.51,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2020,1390.75,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2019,1393.42,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2018,1395.04,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2017,1396.76,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2016,1405.17,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2015,1413.53,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2014,1417.03,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2013,1419.28,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2012,1420.43,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2011,1425.0,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2010,1430.09,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2009,1436.6,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2008,1439.1,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2007,1448.7,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2006,1450.0,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2005,1451.9,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2004,1450.5,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2003,1456.5,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2002,1455.6,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2001,1456.2,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,2000,1462.8,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,1999,1466.4,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,1998,1467.7,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,1997,1479.5,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,1996,1488.7,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,1995,1489.0,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,1994,1498.0,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,1993,1497.0,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,1992,1515.0,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,1991,1524.0,Normal value,Thousands
AUT,Austria,Arable and permanent crop land,Hectares,1990,1505.0,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2021,1324.98,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2020,1322.73,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2019,1326.55,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2018,1328.17,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2017,1329.89,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2016,1338.35,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2015,1348.04,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2014,1351.66,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2013,1353.97,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2012,1355.12,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2011,1359.69,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2010,1363.79,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2009,1370.3,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2008,1372.8,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2007,1380.7,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2006,1382.0,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2005,1386.1,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2004,1384.7,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2003,1385.9,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2002,1385.0,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2001,1385.6,Normal value,Thousands
AUT,Austria,Arable land,Hectares,2000,1389.9,Normal value,Thousands
AUT,Austria,Arable land,Hectares,1999,1393.5,Normal value,Thousands
AUT,Austria,Arable land,Hectares,1998,1394.8,Normal value,Thousands
AUT,Austria,Arable land,Hectares,1997,1406.5,Normal value,Thousands
AUT,Austria,Arable land,Hectares,1996,1411.7,Normal value,Thousands
AUT,Austria,Arable land,Hectares,1995,1412.0,Normal value,Thousands
AUT,Austria,Arable land,Hectares,1994,1422.0,Normal value,Thousands
